collection	operation	title	method	path	raw_parameters	body_kind	body_type	sdk_body_required	response	context	destructive	command	source
budget-orders-endpoints	rest:apple-ads-platform-api:post:shared-budgets-query	Query Budget Orders	POST	/v1/shared-budgets/query	none	JSON object	QueryRequest	no	200 SharedBudgetQueryResponse	optional-ad-account	no	budget-orders find	https://developer.apple.com/documentation/apple-ads-platform-api/post-shared-budgets-query
budget-orders-endpoints	rest:apple-ads-platform-api:delete:shared-budgets-{}	Delete a Budget Order	DELETE	/v1/shared-budgets/{id}	path:id (string; required)	none	none	no	200 Response	none	yes	budget-orders delete	https://developer.apple.com/documentation/apple-ads-platform-api/delete-shared-budgets-_id_
budget-orders-endpoints	rest:apple-ads-platform-api:get:shared-budgets-{}	Get a Budget Order by ID	GET	/v1/shared-budgets/{id}	path:id (string; required)	none	none	no	200 SharedBudgetResponse	optional-ad-account	no	budget-orders view	https://developer.apple.com/documentation/apple-ads-platform-api/get-shared-budgets-_id_
budget-orders-endpoints	rest:apple-ads-platform-api:put:shared-budgets-{}	Update a Budget Order	PUT	/v1/shared-budgets/{id}	path:id (string; required)	JSON object	SharedBudgetUpdate	no	200 SharedBudgetResponse	none	no	budget-orders update	https://developer.apple.com/documentation/apple-ads-platform-api/put-shared-budgets-_id_
bulk-operations-endpoints	rest:apple-ads-platform-api:post:keywords-bulk-create	Bulk Create Keywords	POST	/v1/keywords/bulk-create	none	JSON object	KeywordCreateBulkRequest	no	200 KeywordCreateBulkResponse	ad-account	no	targeting-keywords create-bulk	https://developer.apple.com/documentation/apple-ads-platform-api/post-keywords-bulk-create
bulk-operations-endpoints	rest:apple-ads-platform-api:post:keywords-bulk-update	Bulk Update Keywords	POST	/v1/keywords/bulk-update	none	JSON object	KeywordUpdateBulkRequest	no	200 KeywordUpdateBulkResponse	ad-account	no	targeting-keywords update-bulk	https://developer.apple.com/documentation/apple-ads-platform-api/post-keywords-bulk-update
bulk-operations-endpoints	rest:apple-ads-platform-api:post:negative-keywords-bulk-create	Bulk Create Negative Keywords	POST	/v1/negative-keywords/bulk-create	none	JSON object	NegativeKeywordCreateBulkRequest	no	200 NegativeKeywordCreateBulkResponse	ad-account	no	negative-keywords create-bulk	https://developer.apple.com/documentation/apple-ads-platform-api/post-negative-keywords-bulk-create
bulk-operations-endpoints	rest:apple-ads-platform-api:post:negative-keywords-bulk-update	Bulk Update Negative Keywords	POST	/v1/negative-keywords/bulk-update	none	JSON object	NegativeKeywordUpdateBulkRequest	no	200 NegativeKeywordUpdateBulkResponse	ad-account	no	negative-keywords update-bulk	https://developer.apple.com/documentation/apple-ads-platform-api/post-negative-keywords-bulk-update
campaigns-endpoints	rest:apple-ads-platform-api:post:campaigns	Create a Campaign	POST	/v1/campaigns	none	JSON object	CampaignCreate	no	200 CampaignResponse	ad-account	no	campaigns create	https://developer.apple.com/documentation/apple-ads-platform-api/post-campaigns
campaigns-endpoints	rest:apple-ads-platform-api:post:campaigns-query	Query Campaigns	POST	/v1/campaigns/query	none	JSON object	QueryRequest	no	200 CampaignQueryResponse	ad-account	no	campaigns find	https://developer.apple.com/documentation/apple-ads-platform-api/post-campaigns-query
campaigns-endpoints	rest:apple-ads-platform-api:delete:campaigns-{}	Delete a Campaign	DELETE	/v1/campaigns/{id}	path:id (string; required)	none	none	no	200 Response	ad-account	yes	campaigns delete	https://developer.apple.com/documentation/apple-ads-platform-api/delete-campaigns-_id_
campaigns-endpoints	rest:apple-ads-platform-api:get:campaigns-{}	Get a Campaign	GET	/v1/campaigns/{id}	path:id (string; required)	none	none	no	200 CampaignResponse	ad-account	no	campaigns view	https://developer.apple.com/documentation/apple-ads-platform-api/get-campaigns-_id_
campaigns-endpoints	rest:apple-ads-platform-api:put:campaigns-{}	Update a Campaign	PUT	/v1/campaigns/{id}	path:id (string; required)	JSON object	CampaignUpdate	no	200 CampaignResponse	ad-account	no	campaigns update	https://developer.apple.com/documentation/apple-ads-platform-api/put-campaigns-_id_
campaigns-endpoints	rest:apple-ads-platform-api:get:campaigns-{}-legacy-app-limited-status-reason-details	Get Legacy App Limited Status Reason Details	GET	/v1/campaigns/{id}/legacy-app-limited-status-reason-details	path:id (string; required)	none	none	no	200 LegacyAppLimitedStatusReasonDetailsResponse	ad-account	no	campaigns legacy-status-reasons	https://developer.apple.com/documentation/apple-ads-platform-api/get-campaigns-_id_-legacy-app-limited-status-reason-details
change-history-endpoints	rest:apple-ads-platform-api:post:change-history-query	Query Change History	POST	/v1/change-history/query	none	JSON object	AuditQuery	yes	200 AuditSummaryResponse	ad-account	no	change-history find	https://developer.apple.com/documentation/apple-ads-platform-api/query-audit-summary-_-grouped-by-transaction
