collection	operation	title	method	path	raw_parameters	body_kind	body_type	sdk_body_required	response	context	destructive	command	source
location-groups-overview	rest:apple-ads-platform-api:delete:location-groups-{}	Delete Location Group	DELETE	/v1/location-groups/{id}	path:id (string; required)	none	none	no	200 LocationGroupResponse	ad-account	yes	location-groups delete	https://developer.apple.com/documentation/apple-ads-platform-api/delete-location-group
location-groups-overview	rest:apple-ads-platform-api:get:location-groups-{}	Get Location Group	GET	/v1/location-groups/{id}	path:id (string; required)	none	none	no	200 LocationGroupResponse	ad-account	no	location-groups view	https://developer.apple.com/documentation/apple-ads-platform-api/get-location-group-by-id
location-groups-overview	rest:apple-ads-platform-api:put:location-groups-{}	Update Location Group	PUT	/v1/location-groups/{id}	path:id (string; required)	JSON object	LocationGroupUpdate	yes	200 LocationGroupResponse	ad-account	no	location-groups update	https://developer.apple.com/documentation/apple-ads-platform-api/update-location-group
locations-overview	rest:apple-ads-platform-api:post:locations-query	Query for Locations	POST	/v1/locations/query	none	JSON object	QueryRequest	yes	200 LocationQueryResponse	ad-account	no	locations find	https://developer.apple.com/documentation/apple-ads-platform-api/query-locations
locations-overview	rest:apple-ads-platform-api:get:locations-{}	Get a Location	GET	/v1/locations/{id}	path:id (string; required)	none	none	no	200 LocationResponse	ad-account	no	locations view	https://developer.apple.com/documentation/apple-ads-platform-api/get-location-by-id
negative-keywords-endpoints	rest:apple-ads-platform-api:post:negative-keywords	Create a Negative Keyword	POST	/v1/negative-keywords	none	JSON object	NegativeKeywordCreate	no	200 NegativeKeywordResponse	ad-account	no	negative-keywords create	https://developer.apple.com/documentation/apple-ads-platform-api/post-negative-keywords
negative-keywords-endpoints	rest:apple-ads-platform-api:post:negative-keywords-query	Query Negative Keywords	POST	/v1/negative-keywords/query	none	JSON object	QueryRequest	no	200 NegativeKeywordQueryResponse	ad-account	no	negative-keywords find	https://developer.apple.com/documentation/apple-ads-platform-api/post-negative-keywords-query
negative-keywords-endpoints	rest:apple-ads-platform-api:delete:negative-keywords-{}	Delete a Negative Keyword	DELETE	/v1/negative-keywords/{id}	path:id (string; required)	none	none	no	200 Response	ad-account	yes	negative-keywords delete	https://developer.apple.com/documentation/apple-ads-platform-api/delete-negative-keywords-_id_
negative-keywords-endpoints	rest:apple-ads-platform-api:get:negative-keywords-{}	Get a Negative Keyword	GET	/v1/negative-keywords/{id}	path:id (string; required)	none	none	no	200 NegativeKeywordResponse	ad-account	no	negative-keywords view	https://developer.apple.com/documentation/apple-ads-platform-api/get-negative-keywords-_id_
negative-keywords-endpoints	rest:apple-ads-platform-api:put:negative-keywords-{}	Update a Negative Keyword	PUT	/v1/negative-keywords/{id}	path:id (string; required)	JSON object	NegativeKeywordUpdate	no	200 NegativeKeywordResponse	ad-account	no	negative-keywords update	https://developer.apple.com/documentation/apple-ads-platform-api/put-negative-keywords-_id_
org-me	rest:apple-ads-platform-api:get:acls	Get User ACL	GET	/v1/acls	none	none	none	no	200 UserAclListResponse	none	no	acls list	https://developer.apple.com/documentation/apple-ads-platform-api/get-user-acls
